call_id,customer_id,phone_number_id,source_id,call_duration
0,1,3,4,853
1,1,3,4,601
2,1,3,4,980
3,1,3,4,313
4,1,3,4,391
5,1,3,4,583
6,1,3,4,431
7,1,3,4,514
8,1,3,4,96
9,1,3,4,753
10,1,3,4,15
11,1,3,4,422
12,1,3,4,357
13,1,3,4,458
14,1,3,4,983
15,1,3,4,366
16,1,3,4,548
17,1,3,4,963
18,1,3,4,933
19,1,3,4,694
20,1,3,4,889
21,1,3,4,485
22,1,3,4,101
23,1,3,4,675
24,1,3,4,596
25,1,3,4,899
26,1,3,4,825
27,1,3,4,66
28,1,3,4,856
29,1,3,4,327
30,1,3,4,414
31,1,3,4,470
32,1,3,4,480
33,1,3,4,907
34,1,3,4,385
35,1,3,4,723
36,1,3,4,896
37,1,3,4,729
38,1,3,4,977
39,1,3,4,337
40,1,3,4,169
41,1,3,4,647
42,1,3,4,268
43,1,3,4,542
44,1,3,4,140
45,1,3,4,673
46,1,3,4,774
47,1,3,4,362
48,1,3,4,254
49,1,3,4,935
50,1,3,4,306
51,1,3,4,162
52,1,3,4,150
53,1,3,4,168
54,1,3,4,570
55,1,3,4,251
56,1,3,4,744
57,1,3,4,137
58,1,3,4,345
59,1,3,4,555
60,1,3,4,197
61,1,3,4,47
62,1,3,4,293
63,1,3,4,750
64,1,3,4,523
65,1,3,4,928
66,1,3,4,492
67,1,3,4,840
68,1,3,4,588
69,1,3,4,615
70,1,3,4,230
71,1,3,4,203
72,1,3,4,95
73,1,3,4,981
74,1,3,4,68
75,1,3,4,420
76,1,3,4,213
77,1,3,4,172
78,1,3,4,259
79,1,3,4,392
80,1,3,4,292
81,1,3,4,647
82,1,3,4,77
83,1,3,4,371
84,1,3,4,692
85,1,3,4,872
86,1,3,4,249
87,1,3,4,239
88,1,3,4,868
89,1,3,4,232
90,1,3,4,658
91,1,3,4,686
92,1,3,4,955
93,1,3,4,444
94,1,3,4,28
95,1,3,4,920
96,1,3,4,73
97,1,3,4,192
98,1,3,4,708
99,1,3,4,940
100,1,3,4,318
101,1,3,4,920
102,1,3,4,643
103,1,3,4,2
104,1,3,4,602
105,1,3,4,810
106,1,3,4,304
107,1,3,4,250
108,1,3,4,840
109,1,3,4,916
110,1,3,4,870
111,1,3,4,625
112,1,3,4,901
113,1,3,4,394
114,1,3,4,416
115,1,3,4,686
116,1,3,4,401
117,1,3,4,348
118,1,3,4,850
119,1,3,4,823
120,1,3,4,0
121,1,3,4,335
122,1,3,4,73
123,1,3,4,692
124,1,3,4,466
125,1,3,4,553
126,1,3,4,0
127,1,3,4,664
128,1,3,4,182
129,1,3,4,317
130,1,3,4,200
131,1,3,4,703
132,1,3,4,186
133,1,3,4,521
134,1,3,4,200
135,1,3,4,412
136,1,3,4,790
137,1,3,4,867
138,1,3,4,836
139,1,3,4,325
140,1,3,4,377
141,1,3,4,75
142,1,3,4,197
143,1,3,4,676
144,1,3,4,68
145,1,3,4,834
146,1,3,4,732
147,1,3,4,127
148,1,3,4,234
149,1,3,4,689
150,1,3,4,601
151,1,3,4,934
152,1,3,4,992
153,1,3,4,241
154,1,3,4,668
155,1,3,4,514
156,1,3,4,621
157,1,3,4,545
158,1,3,4,458
159,1,3,4,255
160,1,3,4,434
161,1,3,4,634
162,1,3,4,255
163,1,3,4,30
164,1,3,4,370
165,1,3,4,43
166,1,3,4,383
167,1,3,4,101
168,1,3,4,382
169,1,3,4,30
170,1,3,4,161
171,1,3,4,645
172,1,3,4,153
173,1,3,4,254
174,1,3,4,165
175,1,3,4,917
176,1,3,4,832
177,1,3,4,925
178,1,3,4,426
179,1,3,4,972
180,1,3,4,565
181,1,3,4,376
182,1,3,4,849
183,1,3,4,927
184,1,3,4,506
185,1,3,4,417
186,1,3,4,54
187,1,3,4,317
188,1,3,4,647
189,1,3,4,116
190,1,3,4,803
191,1,3,4,557
192,1,3,4,543
193,1,3,4,470
194,1,3,4,514
195,1,3,4,430
196,1,3,4,87
197,1,3,4,845
198,1,3,4,744
199,1,3,4,654
200,1,3,4,116
201,1,3,4,82
202,1,3,4,2
203,1,3,4,807
204,1,3,4,411
205,1,3,4,722
206,1,3,4,473
207,1,3,4,851
208,1,3,4,265
209,1,3,4,940
210,1,3,4,89
211,1,3,4,205
212,1,3,4,556
213,1,3,4,300
214,1,3,4,589
215,1,3,4,24
216,1,3,4,799
217,1,3,4,598
218,1,3,4,482
219,1,3,4,799
220,1,3,4,770
221,1,3,4,631
222,1,3,4,122
223,1,3,4,920
224,1,3,4,396
225,1,3,4,583
226,1,3,4,520
227,1,3,4,398
228,1,3,4,201
229,1,3,4,65
230,1,3,4,530
231,1,3,4,402
232,1,3,4,453
233,1,3,4,757
234,1,3,4,885
235,1,3,4,941
236,1,3,4,865
237,1,3,4,919
238,1,3,4,885
239,1,3,4,864
240,1,3,4,863
241,1,3,4,610
242,1,3,4,625
243,1,3,4,738
244,1,3,4,383
245,1,3,4,180
246,1,3,4,27
247,1,3,4,725
248,1,3,4,899
249,1,3,4,858
250,1,3,4,128
251,1,3,4,337
252,1,3,4,648
253,1,3,4,226
254,1,3,4,222
255,1,3,4,325
256,1,3,4,999
257,1,3,4,693
258,1,3,4,246
259,1,3,4,789
260,1,3,4,951
261,1,3,4,271
262,1,3,4,215
263,1,3,4,321
264,1,3,4,179
265,1,3,4,405
266,1,3,4,381
267,1,3,4,923
268,1,3,4,258
269,1,3,4,274
270,1,3,4,80
271,1,3,4,152
272,1,3,4,578
273,1,3,4,714
274,1,3,4,249
275,1,3,4,981
276,1,3,4,576
277,1,3,4,201
278,1,3,4,134
279,1,3,4,314
280,1,3,4,39
281,1,3,4,327
282,1,3,4,780
283,1,3,4,932
284,1,3,4,858
285,1,3,4,340
286,1,3,4,86
287,1,3,4,466
288,1,3,4,844
289,1,3,4,919
290,1,3,4,80
291,1,3,4,908
292,1,3,4,49
293,1,3,4,821
294,1,3,4,786
295,1,3,4,182
296,1,3,4,303
297,1,3,4,340
298,1,3,4,521
299,1,3,4,47
300,1,3,4,438
301,1,3,4,123
302,1,3,4,440
303,1,3,4,43
304,1,3,4,229
305,1,3,4,417
306,1,3,4,350
307,1,3,4,212
308,1,3,4,279
309,1,3,4,99
310,1,3,4,8
311,1,3,4,142
312,1,3,4,272
313,1,3,4,54
314,1,3,4,115
315,1,3,4,601
316,1,3,4,895
317,1,3,4,97
318,1,3,4,881
319,1,3,4,209
320,1,3,4,474
321,1,3,4,773
322,1,3,4,790
323,1,3,4,708
324,1,3,4,503
325,1,3,4,669
326,1,3,4,938
327,1,3,4,751
328,1,3,4,624
329,1,3,4,143
330,1,3,4,365
331,1,3,4,591
332,1,3,4,897
333,1,3,4,638
334,1,3,4,975
335,1,3,4,952
336,1,3,4,200
337,1,3,4,740
338,1,3,4,626
339,1,3,4,592
340,1,3,4,436
341,1,3,4,835
342,1,3,4,698
343,1,3,4,176
344,1,3,4,355
345,1,3,4,374
346,1,3,4,361
347,1,3,4,72
348,1,3,4,601
349,1,3,4,634
350,1,3,4,982
351,1,3,4,825
352,1,3,4,918
353,1,3,4,518
354,1,3,4,438
355,1,3,4,488
356,1,3,4,12
357,1,3,4,392
358,1,3,4,873
359,1,3,4,530
360,1,3,4,153
361,1,3,4,462
362,1,3,4,836
363,1,3,4,659
364,1,3,4,797
365,1,3,4,836
366,1,3,4,642
367,1,3,4,310
368,1,3,4,25
369,1,3,4,379
370,1,3,4,833
371,1,3,4,715
372,1,3,4,931
373,1,3,4,346
374,1,3,4,420
375,1,3,4,846
376,1,3,4,585
377,1,3,4,819
378,1,3,4,461
379,1,3,4,305
380,1,3,4,516
381,1,3,4,812
382,1,3,4,581
383,1,3,4,654
384,1,3,4,209
385,1,3,4,943
386,1,3,4,11
387,1,3,4,923
388,1,3,4,392
389,1,3,4,548
390,1,3,4,398
391,1,3,4,153
392,1,3,4,725
393,1,3,4,362
394,1,3,4,761
395,1,3,4,54
396,1,3,4,173
397,1,3,4,963
398,1,3,4,66
399,1,3,4,334
400,1,3,4,886
401,1,3,4,231
402,1,3,4,671
403,1,3,4,171
404,1,3,4,40
405,1,3,4,776
406,1,3,4,594
407,1,3,4,717
408,1,3,4,853
409,1,3,4,718
410,1,3,4,268
411,1,3,4,931
412,1,3,4,661
413,1,3,4,20
414,1,3,4,623
415,1,3,4,152
416,1,3,4,760
417,1,3,4,543
418,1,3,4,506
419,1,3,4,967
420,1,3,4,753
421,1,3,4,11
422,1,3,4,335
423,1,3,4,574
424,1,3,4,802
425,1,3,4,961
426,1,3,4,779
427,1,3,4,981
428,1,3,4,715
429,1,3,4,196
430,1,3,4,205
431,1,3,4,357
432,1,3,4,533
433,1,3,4,407
434,1,3,4,822
435,1,3,4,540
436,1,3,4,49
437,1,3,4,300
438,1,3,4,901
439,1,3,4,132
440,1,3,4,631
441,1,3,4,265
442,1,3,4,303
443,1,3,4,713
444,1,3,4,829
445,1,3,4,225
446,1,3,4,479
447,1,3,4,551
448,1,3,4,16
449,1,3,4,831
450,1,3,4,368
451,1,3,4,481
452,1,3,4,793
453,1,3,4,365
454,1,3,4,592
455,1,3,4,493
456,1,3,4,598
457,1,3,4,514
458,1,3,4,730
459,1,3,4,836
460,1,3,4,533
461,1,3,4,410
462,1,3,4,757
463,1,3,4,455
464,1,3,4,240
465,1,3,4,646
466,1,3,4,341
467,1,3,4,671
468,1,3,4,376
469,1,3,4,454
470,1,3,4,728
471,1,3,4,97
472,1,3,4,744
473,1,3,4,937
474,1,3,4,805
475,1,3,4,498
476,1,3,4,54
477,1,3,4,134
478,1,3,4,651
479,1,3,4,655
480,1,3,4,93
481,1,3,4,103
482,1,3,4,118
483,1,3,4,556
484,1,3,4,515
485,1,3,4,171
486,1,3,4,849
487,1,3,4,632
488,1,3,4,830
489,1,3,4,969
490,1,3,4,344
491,1,3,4,356
492,1,3,4,339
493,1,3,4,876
494,1,3,4,339
495,1,3,4,18
496,1,3,4,794
497,1,3,4,685
498,1,3,4,381
499,1,3,4,131
500,1,3,4,449
501,1,3,4,65
502,1,3,4,111
503,1,3,4,450
504,1,3,4,775
505,1,3,4,539
506,1,3,4,836
507,1,3,4,461
508,1,3,4,415
509,1,3,4,767
510,1,3,4,322
511,1,3,4,104
512,1,3,4,983
513,1,3,4,313
514,1,3,4,626
515,1,3,4,104
516,1,3,4,59
517,1,3,4,423
518,1,3,4,775
519,1,3,4,310
520,1,3,4,316
521,1,3,4,141
522,1,3,4,220
523,1,3,4,350
524,1,3,4,226
525,1,3,4,192
526,1,3,4,131
527,1,3,4,555
528,1,3,4,502
529,1,3,4,690
530,1,3,4,800
531,1,3,4,809
532,1,3,4,210
533,1,3,4,149
534,1,3,4,527
535,1,3,4,318
536,1,3,4,902
537,1,3,4,917
538,1,3,4,802
539,1,3,4,446
540,1,3,4,654
541,1,3,4,113
542,1,3,4,430
543,1,3,4,683
544,1,3,4,460
545,1,3,4,46
546,1,3,4,547
547,1,3,4,417
548,1,3,4,319
549,1,3,4,327
550,1,3,4,435
551,1,3,4,51
552,1,3,4,668
553,1,3,4,214
554,1,3,4,823
555,1,3,4,901
556,1,3,4,392
557,1,3,4,754
558,1,3,4,545
559,1,3,4,735
560,1,3,4,260
561,1,3,4,827
562,1,3,4,26
563,1,3,4,956
564,1,3,4,251
565,1,3,4,661
566,1,3,4,165
567,1,3,4,605
568,1,3,4,107
569,1,3,4,922
570,1,3,4,499
571,1,3,4,51
572,1,3,4,811
573,1,3,4,229
574,1,3,4,34
575,1,3,4,259
576,1,3,4,170
577,1,3,4,750
578,1,3,4,198
579,1,3,4,760
580,1,3,4,851
581,1,3,4,377
582,1,3,4,228
583,1,3,4,946
584,1,3,4,677
585,1,3,4,25
586,1,3,4,174
587,1,3,4,343
588,1,3,4,979
589,1,3,4,179
590,1,3,4,71
591,1,3,4,484
592,1,3,4,912
593,1,3,4,321
594,1,3,4,910
595,1,3,4,650
596,1,3,4,500
597,1,3,4,96
598,1,3,4,380
599,1,3,4,170
600,1,3,4,94
601,1,3,4,456
602,1,3,4,448
603,1,3,4,483
604,1,3,4,930
605,1,3,4,654
606,1,3,4,300
607,1,3,4,427
608,1,3,4,594
609,1,3,4,706
610,1,3,4,487
611,1,3,4,439
612,1,3,4,250
613,1,3,4,245
614,1,3,4,627
615,1,3,4,398
616,1,3,4,207
617,1,3,4,847
618,1,3,4,64
619,1,3,4,82
620,1,3,4,413
621,1,3,4,68
622,1,3,4,85
623,1,3,4,568
624,1,3,4,951
625,1,3,4,567
626,1,3,4,971
627,1,3,4,217
628,1,3,4,66
629,1,3,4,963
630,1,3,4,532
631,1,3,4,196
632,1,3,4,962
633,1,3,4,431
634,1,3,4,362
635,1,3,4,69
636,1,3,4,923
637,1,3,4,36
638,1,3,4,699
639,1,3,4,681
640,1,3,4,625
641,1,3,4,217
642,1,3,4,353
643,1,3,4,566
644,1,3,4,511
645,1,3,4,19
646,1,3,4,113
647,1,3,4,69
648,1,3,4,817
649,1,3,4,98
650,1,3,4,300
651,1,3,4,802
652,1,3,4,816
653,1,3,4,131
654,1,3,4,162
655,1,3,4,506
656,1,3,4,163
657,1,3,4,125
658,1,3,4,868
659,1,3,4,73
660,1,3,4,947
661,1,3,4,243
662,1,3,4,548
663,1,3,4,158
664,1,3,4,611
665,1,3,4,238
666,1,3,4,196
667,1,3,4,498
668,1,3,4,520
669,1,3,4,120
670,1,3,4,244
671,1,3,4,364
672,1,3,4,687
673,1,3,4,203
674,1,3,4,717
675,1,3,4,137
676,1,3,4,491
677,1,3,4,734
678,1,3,4,93
679,1,3,4,366
680,1,3,4,169
681,1,3,4,788
682,1,3,4,318
683,1,3,4,942
684,1,3,4,958
685,1,3,4,708
686,1,3,4,14
687,1,3,4,911
688,1,3,4,865
689,1,3,4,530
690,1,3,4,645
691,1,3,4,670
692,1,3,4,150
693,1,3,4,287
694,1,3,4,115
695,1,3,4,809
696,1,3,4,725
697,1,3,4,329
698,1,3,4,728
699,1,3,4,650
700,1,3,4,417
701,1,3,4,820
702,1,3,4,463
703,1,3,4,186
704,1,3,4,964
705,1,3,4,879
706,1,3,4,709
707,1,3,4,935
708,1,3,4,47
709,1,3,4,201
710,1,3,4,533
711,1,3,4,578
712,1,3,4,768
713,1,3,4,16
714,1,3,4,334
715,1,3,4,847
716,1,3,4,523
717,1,3,4,897
718,1,3,4,883
719,1,3,4,684
720,1,3,4,555
721,1,3,4,886
722,1,3,4,107
723,1,3,4,185
724,1,3,4,667
725,1,3,4,359
726,1,3,4,768
727,1,3,4,621
728,1,3,4,993
729,1,3,4,106
730,1,3,4,806
731,1,3,4,233
732,1,3,4,983
733,1,3,4,372
734,1,3,4,635
735,1,3,4,336
736,1,3,4,936
737,1,3,4,25
738,1,3,4,811
739,1,3,4,568
740,1,3,4,960
741,1,3,4,208
742,1,3,4,866
743,1,3,4,779
744,1,3,4,215
745,1,3,4,307
746,1,3,4,445
747,1,3,4,370
748,1,3,4,703
749,1,3,4,740
750,1,3,4,883
751,1,3,4,731
752,1,3,4,157
753,1,3,4,742
754,1,3,4,935
755,1,3,4,125
756,1,3,4,584
757,1,3,4,352
758,1,3,4,214
759,1,3,4,849
760,1,3,4,980
761,1,3,4,231
762,1,3,4,685
763,1,3,4,733
764,1,3,4,925
765,1,3,4,8
766,1,3,4,602
767,1,3,4,516
768,1,3,4,391
769,1,3,4,195
770,1,3,4,4
771,1,3,4,926
772,1,3,4,53
773,1,3,4,641
774,1,3,4,463
775,1,3,4,639
776,1,3,4,564
777,1,3,4,515
778,1,3,4,457
779,1,3,4,729
780,1,3,4,942
781,1,3,4,258
782,1,3,4,268
783,1,3,4,109
784,1,3,4,931
785,1,3,4,759
786,1,3,4,380
787,1,3,4,65
788,1,3,4,338
789,1,3,4,535
790,1,3,4,573
791,1,3,4,774
792,1,3,4,213
793,1,3,4,3
794,1,3,4,287
795,1,3,4,919
796,1,3,4,320
797,1,3,4,60
798,1,3,4,602
799,1,3,4,449
800,1,3,4,489
801,1,3,4,378
802,1,3,4,869
803,1,3,4,903
804,1,3,4,505
805,1,3,4,527
806,1,3,4,984
807,1,3,4,56
808,1,3,4,915
809,1,3,4,708
810,1,3,4,830
811,1,3,4,811
812,1,3,4,594
813,1,3,4,780
814,1,3,4,747
815,1,3,4,768
816,1,3,4,810
817,1,3,4,145
818,1,3,4,577
819,1,3,4,379
820,1,3,4,775
821,1,3,4,817
822,1,3,4,330
823,1,3,4,279
824,1,3,4,151
825,1,3,4,823
826,1,3,4,636
827,1,3,4,834
828,1,3,4,393
829,1,3,4,963
830,1,3,4,47
831,1,3,4,821
832,1,3,4,905
833,1,3,4,505
834,1,3,4,633
835,1,3,4,473
836,1,3,4,643
837,1,3,4,37
838,1,3,4,195
839,1,3,4,554
840,1,3,4,349
841,1,3,4,453
842,1,3,4,54
843,1,3,4,471
844,1,3,4,118
845,1,3,4,817
846,1,3,4,781
847,1,3,4,240
848,1,3,4,403
849,1,3,4,670
850,1,3,4,238
851,1,3,4,349
852,1,3,4,846
853,1,3,4,619
854,1,3,4,157
855,1,3,4,953
856,1,3,4,611
857,1,3,4,489
858,1,3,4,201
859,1,3,4,127
860,1,3,4,538
861,1,3,4,818
862,1,3,4,914
863,1,3,4,109
864,1,3,4,604
865,1,3,4,748
866,1,3,4,761
867,1,3,4,852
868,1,3,4,131
869,1,3,4,278
870,1,3,4,506
871,1,3,4,475
872,1,3,4,742
873,1,3,4,941
874,1,3,4,368
875,1,3,4,242
876,1,3,4,674
877,1,3,4,958
878,1,3,4,803
879,1,3,4,329
880,1,3,4,300
881,1,3,4,897
882,1,3,4,623
883,1,3,4,339
884,1,3,4,959
885,1,3,4,870
886,1,3,4,339
887,1,3,4,288
888,1,3,4,464
889,1,3,4,307
890,1,3,4,836
891,1,3,4,783
892,1,3,4,781
893,1,3,4,111
894,1,3,4,723
895,1,3,4,152
896,1,3,4,675
897,1,3,4,191
898,1,3,4,893
899,1,3,4,658
900,1,3,4,931
901,1,3,4,864
902,1,3,4,790
903,1,3,4,956
904,1,3,4,223
905,1,3,4,337
906,1,3,4,980
907,1,3,4,985
908,1,3,4,230
909,1,3,4,807
910,1,3,4,264
911,1,3,4,962
912,1,3,4,962
913,1,3,4,312
914,1,3,4,630
915,1,3,4,669
916,1,3,4,731
917,1,3,4,462
918,1,3,4,808
919,1,3,4,204
920,1,3,4,114
921,1,3,4,321
922,1,3,4,69
923,1,3,4,209
924,1,3,4,308
925,1,3,4,436
926,1,3,4,524
927,1,3,4,829
928,1,3,4,384
929,1,3,4,727
930,1,3,4,358
931,1,3,4,785
932,1,3,4,604
933,1,3,4,769
934,1,3,4,572
935,1,3,4,813
936,1,3,4,760
937,1,3,4,60
938,1,3,4,709
939,1,3,4,501
940,1,3,4,783
941,1,3,4,632
942,1,3,4,283
943,1,3,4,340
944,1,3,4,643
945,1,3,4,628
946,1,3,4,497
947,1,3,4,500
948,1,3,4,654
949,1,3,4,475
950,1,3,4,695
951,1,3,4,7
952,1,3,4,453
953,1,3,4,971
954,1,3,4,690
955,1,3,4,302
956,1,3,4,283
957,1,3,4,444
958,1,3,4,934
959,1,3,4,336
960,1,3,4,276
961,1,3,4,395
962,1,3,4,997
963,1,3,4,55
964,1,3,4,962
965,1,3,4,55
966,1,3,4,811
967,1,3,4,136
968,1,3,4,266
969,1,3,4,853
970,1,3,4,201
971,1,3,4,424
972,1,3,4,459
973,1,3,4,983
974,1,3,4,263
975,1,3,4,900
976,1,3,4,705
977,1,3,4,550
978,1,3,4,769
979,1,3,4,780
980,1,3,4,99
981,1,3,4,766
982,1,3,4,540
983,1,3,4,616
984,1,3,4,399
985,1,3,4,201
986,1,3,4,29
987,1,3,4,258
988,1,3,4,695
989,1,3,4,102
990,1,3,4,543
991,1,3,4,226
992,1,3,4,584
993,1,3,4,879
994,1,3,4,589
995,1,3,4,976
996,1,3,4,636
997,1,3,4,177
998,1,3,4,214
999,1,3,4,176
1000,1,3,4,54
1001,1,3,4,455
1002,1,3,4,233
1003,1,3,4,388
1004,1,3,4,307
1005,1,3,4,990
1006,1,3,4,433
1007,1,3,4,199
1008,1,3,4,434
1009,1,3,4,510
1010,1,3,4,988
1011,1,3,4,192
1012,1,3,4,17
1013,1,3,4,434
1014,1,3,4,945
1015,1,3,4,752
1016,1,3,4,532
1017,1,3,4,310
1018,1,3,4,32
1019,1,3,4,171
1020,1,3,4,367
1021,1,3,4,97
1022,1,3,4,730
1023,1,3,4,89
1024,1,3,4,869
1025,1,3,4,751
1026,1,3,4,546
1027,1,3,4,264
1028,1,3,4,758
1029,1,3,4,564
1030,1,3,4,633
1031,1,3,4,489
1032,1,3,4,852
1033,1,3,4,551
1034,1,3,4,197
1035,1,3,4,691
1036,1,3,4,186
1037,1,3,4,511
1038,1,3,4,926
1039,1,3,4,616
1040,1,3,4,382
1041,1,3,4,158
1042,1,3,4,469
1043,1,3,4,62
1044,1,3,4,548
1045,1,3,4,191
1046,1,3,4,547
1047,1,3,4,774
1048,1,3,4,630
1049,1,3,4,426
1050,1,3,4,246
1051,1,3,4,731
1052,1,3,4,867
1053,1,3,4,176
1054,1,3,4,866
1055,1,3,4,584
1056,1,3,4,747
1057,1,3,4,34
1058,1,3,4,176
1059,1,3,4,956
1060,1,3,4,709
1061,1,3,4,967
1062,1,3,4,699
1063,1,3,4,187
1064,1,3,4,751
1065,1,3,4,770
1066,1,3,4,999
1067,1,3,4,225
1068,1,3,4,62
1069,1,3,4,376
1070,1,3,4,501
1071,1,3,4,715
1072,1,3,4,66
1073,1,3,4,58
1074,1,3,4,602
1075,1,3,4,553
1076,1,3,4,592
1077,1,3,4,692
1078,1,3,4,1000
1079,1,3,4,892
1080,1,3,4,253
1081,1,3,4,889
1082,1,3,4,728
1083,1,3,4,592
1084,1,3,4,426
1085,1,3,4,403
1086,1,3,4,102
1087,1,3,4,715
1088,1,3,4,174
1089,1,3,4,598
1090,1,3,4,697
1091,1,3,4,974
1092,1,3,4,940
1093,1,3,4,730
1094,1,3,4,30
1095,1,3,4,764
1096,1,3,4,296
1097,1,3,4,646
1098,1,3,4,243
1099,1,3,4,934
1100,1,3,4,719
1101,1,3,4,348
1102,1,3,4,390
1103,1,3,4,776
1104,1,3,4,508
1105,1,3,4,198
1106,1,3,4,696
1107,1,3,4,317
1108,1,3,4,803
1109,1,3,4,113
1110,1,3,4,290
1111,1,3,4,976
1112,1,3,4,82
1113,1,3,4,739
1114,1,3,4,304
1115,1,3,4,251
1116,1,3,4,618
1117,1,3,4,211
1118,1,3,4,992
1119,1,3,4,115
1120,1,3,4,367
1121,1,3,4,434
1122,1,3,4,383
1123,1,3,4,787
1124,1,3,4,586
1125,1,3,4,804
1126,1,3,4,995
1127,1,3,4,699
1128,1,3,4,782
1129,1,3,4,118
1130,1,3,4,925
1131,1,3,4,572
1132,1,3,4,604
1133,1,3,4,303
1134,1,3,4,312
1135,1,3,4,869
1136,1,3,4,414
1137,1,3,4,864
1138,1,3,4,313
1139,1,3,4,735
1140,1,3,4,449
1141,1,3,4,117
1142,1,3,4,725
1143,1,3,4,425
1144,1,3,4,853
1145,1,3,4,665
1146,1,3,4,549
1147,1,3,4,397
1148,1,3,4,346
1149,1,3,4,152
1150,1,3,4,357
1151,1,3,4,503
1152,1,3,4,439
1153,1,3,4,940
1154,1,3,4,366
1155,1,3,4,1
1156,1,3,4,865
1157,1,3,4,260
1158,1,3,4,742
1159,1,3,4,693
1160,1,3,4,809
1161,1,3,4,472
1162,1,3,4,224
1163,1,3,4,920
1164,1,3,4,482
1165,1,3,4,231
1166,1,3,4,568
1167,1,3,4,300
1168,1,3,4,182
1169,1,3,4,748
1170,1,3,4,601
1171,1,3,4,856
1172,1,3,4,485
1173,1,3,4,963
1174,1,3,4,520
1175,1,3,4,765
1176,1,3,4,945
1177,1,3,4,906
1178,1,3,4,895
1179,1,3,4,682
1180,1,3,4,697
1181,1,3,4,779
1182,1,3,4,308
1183,1,3,4,565
1184,1,3,4,286
1185,1,3,4,203
1186,1,3,4,527
1187,1,3,4,270
1188,1,3,4,998
1189,1,3,4,540
1190,1,3,4,868
1191,1,3,4,720
1192,1,3,4,95
1193,1,3,4,58
1194,1,3,4,749
1195,1,3,4,286
1196,1,3,4,872
1197,1,3,4,718
1198,1,3,4,211
1199,1,3,4,534
1200,1,3,4,512
1201,1,3,4,126
1202,1,3,4,191
1203,1,3,4,428
1204,1,3,4,333
1205,1,3,4,364
1206,1,3,4,135
1207,1,3,4,330
1208,1,3,4,648
1209,1,3,4,19
1210,1,3,4,59
1211,1,3,4,45
1212,1,3,4,879
1213,1,3,4,343
1214,1,3,4,221
1215,1,3,4,501
1216,1,3,4,227
1217,1,3,4,67
1218,1,3,4,254
1219,1,3,4,746
1220,1,3,4,612
1221,1,3,4,422
1222,1,3,4,106
1223,1,3,4,428
1224,1,3,4,604
1225,1,3,4,160
1226,1,3,4,640
1227,1,3,4,505
1228,1,3,4,676
